Make,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),engine_class,mileage,Age,km_year,qcut_km_year,mileage_class,is_retro,is_japan,is_german,is_cargo_passenger,is_off_road,is_mpv,is_open_top
11,2015,11,152523,1500.0,0,,9300.0,3,2,7,21789.0,2,2,0,0,0,1,0,0,0
28,2007,11,190000,1300.0,0,,4499.0,3,2,15,12667.0,1,2,0,0,1,1,0,0,0
39,2014,11,165000,2000.0,0,,15600.0,1,2,8,20625.0,2,2,0,1,0,1,0,0,0
2,2006,10,260000,3000.0,0,,11000.0,1,2,16,16250.0,1,2,0,0,1,0,0,0,0
39,2011,4,182251,1798.0,2,,8200.0,3,2,11,16568.0,1,2,0,1,0,0,0,0,0
10,2008,4,185000,1300.0,0,,3600.0,3,2,14,13214.0,1,2,0,0,0,0,0,0,0
3,2012,4,187000,1300.0,0,,4600.0,3,2,10,18700.0,2,2,0,0,0,0,0,0,0
31,2005,10,190000,1500.0,0,,3200.0,3,2,17,11176.0,0,2,0,0,0,0,0,0,0
38,2005,9,400000,2700.0,4,,5500.0,1,2,17,23529.0,2,2,0,1,0,1,0,0,0
41,2010,4,225550,2000.0,4,,9650.0,1,2,12,18796.0,2,2,0,0,1,0,0,0,0
7,2003,4,220000,1400.0,4,,2000.0,3,2,19,11579.0,0,2,0,0,0,0,0,0,0
27,2003,4,90000,1500.0,4,,1000.0,3,1,19,4737.0,0,2,0,1,0,0,0,0,0
31,2013,6,165000,1500.0,0,,7500.0,3,2,9,18333.0,2,2,0,0,0,1,0,1,0
13,2018,4,36000,1500.0,5,,18499.0,3,0,4,9000.0,0,0,0,1,0,0,0,0,0
39,2015,6,102000,1800.0,4,,12500.0,1,1,7,14571.0,1,1,0,1,0,1,0,1,0
2,2004,10,2899,2500.0,4,,6100.0,1,0,18,161.0,0,2,0,0,1,0,0,0,0
25,2003,3,208367,2000.0,4,,4600.0,1,2,19,10967.0,0,2,0,1,0,1,1,0,0
41,2011,6,168000,1400.0,4,,7999.0,3,2,11,15273.0,1,2,0,0,1,1,0,1,0
39,2019,4,2500,1800.0,5,,18999.0,1,0,3,833.0,0,0,0,1,0,0,0,0,0
41,2004,5,190000,1896.0,0,,6300.0,1,2,18,10556.0,0,2,0,0,1,1,0,1,0
34,2011,11,210000,1400.0,4,,6400.0,3,2,11,19091.0,2,2,0,0,0,1,0,0,0
21,2014,10,160000,2000.0,2,,12200.0,1,2,8,20000.0,2,2,0,0,0,0,0,0,0
31,2004,11,180000,1500.0,0,,3300.0,3,2,18,10000.0,0,2,0,0,0,1,0,0,0
23,1984,11,100000,2400.0,0,,1000.0,1,1,38,2632.0,0,2,0,0,1,1,0,0,0
39,2007,3,202000,2700.0,3,,14600.0,1,2,15,13467.0,1,2,0,1,0,1,1,0,0
41,2017,4,170000,1422.0,0,,8200.0,3,2,5,34000.0,2,2,0,0,1,0,0,0,0
41,2013,10,198000,1400.0,2,,8400.0,3,2,9,22000.0,2,2,0,0,1,0,0,0,0
18,2004,11,183454,1300.0,4,,2500.0,3,2,18,10192.0,0,2,0,0,0,1,0,0,0
2,2013,3,104000,2979.0,4,,30900.0,1,1,9,11556.0,0,1,0,0,1,1,1,0,0
39,2006,4,119000,1600.0,4,,5700.0,3,1,16,7438.0,0,2,0,1,0,0,0,0,0
28,2007,4,283000,1300.0,0,,3499.0,3,2,15,18867.0,2,2,0,0,1,0,0,0,0
39,2017,4,146000,1800.0,2,,11900.0,1,1,5,29200.0,2,1,0,1,0,0,0,0,0
27,2009,3,202000,1990.0,4,,7100.0,1,2,13,15538.0,1,2,0,1,0,1,1,0,0
11,2016,5,141000,1500.0,0,,9000.0,3,1,6,23500.0,2,1,0,0,0,1,0,1,0
